link,Image,Body_text,Text
https://www.basf.com/global/en.html,https://dynamicassets.basf.com/is/image/basf/N-Vinyl-2-pyrrolidone:16x9?dpr=off&fmt=jpeg&fit=crop%2C1&wid=210&hei=118,Global,"N-vinylpyrrolidone is a reactive, unsaturated comonomer used in a variety of applications"
https://www.basf.com/global/en.html,https://dynamicassets.basf.com/is/image/basf/mail_02:16x9?dpr=off&fmt=jpeg&fit=crop%2C1&wid=210&hei=118,Products,Adhesives
https://products.basf.com/global/en.html,https://dynamicassets.basf.com/is/image/basf/N-Vinyl-2-pyrrolidone?dpr=off&fmt=jpeg&fit=crop%2C1&wid=210&hei=209,Global Home,NVP is utilized as a reactive diluent for radiation curing in UV adhesives. It provides excellent wetting and adhesion on plastics.
https://products.basf.com/global/en/ci/n-vinyl-2-pyrrolidone.html,https://dynamicassets.basf.com/is/image/basf/Packaging-2?dpr=off&fmt=jpeg&fit=crop%2C1&wid=210&hei=207,Global,Coatings
https://chemicals.basf.com/global/en/Intermediates/download_center/Request_Page.html,,Global,NVP is utilized as a reactive diluent for radiation curing in UV coatings. It provides excellent wetting and adhesion on plastics.
https://www.basf.com/global/en.html,,/content/basf/products/global/en,Inks
https://www.basf.com/global/en.html,,/content/basf/products/global/en/ci/n-vinyl-2-pyrrolidone,NVP is utilized as a reactive diluent for radiation curing in UV inks. It provides excellent wetting and adhesion on plastics.
https://chemicals.basf.com/global/en/Intermediates/download_center/Request_Page.html,,Loading ...,Other
https://products.basf.com/global/en.html,,Global Home,"NVP is the main comonomer in the manufacture of polyvinylpyrrolidones (PVP) with uses in applications such as oil-field, cosmetics, medical and adhesives."
https://products.basf.com/global/en/ci/n-vinyl-2-pyrrolidone.html,,/content/basf/products/global/en,N-Vinyl-2-pyrrolidone
https://www.basf.com/global/en.html,,/content/basf/products/global/en/ci/n-vinyl-2-pyrrolidone,CAS No.: 88-12-0
https://products.basf.com/global/en.html,,Loading ...,"Brochures, Flyer and Onepager"
https://products.basf.com/global/en/industries.html,,Products,
https://www.basf.com/global/en/products/segments.html,,N-Vinyl-2-pyrrolidone,
https://products.basf.com/global/en/downloads.html,,Global,
https://products.basf.com/global/en/general_conditions_of_sales.html,,Products,
https://chemicals.basf.com/global/en/Intermediates/download_center/Request_Page.html,,N-Vinyl-2-pyrrolidone,
https://products.basf.com/global/en.html,,"N-vinylpyrrolidone is a reactive, unsaturated comonomer used in a variety of applications",
https://chemicals.basf.com/global/en/Intermediates/download_center/Request_Page.html,,Adhesives,
https://chemicals.basf.com/global/en/Intermediates/Product_groups/Lactones_Lactams.html,,NVP is utilized as a reactive diluent for radiation curing in UV adhesives. It provides excellent wetting and adhesion on plastics.,
https://chemicals.basf.com/global/en/Intermediates/download_center.html,,Coatings,
https://www.linkedin.com/company/basf,,NVP is utilized as a reactive diluent for radiation curing in UV coatings. It provides excellent wetting and adhesion on plastics.,
https://www.facebook.com/basf,,Inks,
https://twitter.com/BASF,,NVP is utilized as a reactive diluent for radiation curing in UV inks. It provides excellent wetting and adhesion on plastics.,
https://www.instagram.com/basf_global/,,Other,
http://www.youtube.com/user/basf,,"NVP is the main comonomer in the manufacture of polyvinylpyrrolidones (PVP) with uses in applications such as oil-field, cosmetics, medical and adhesives.",
http://www.slideshare.net/basf,,CONTACT,
https://www.flickr.com/photos/basf,,Product Details,
https://www.basf.com/global/en/careers.html,,Product Details,
https://www.basf.com/global/en/media.html,,N-Vinyl-2-pyrrolidone,
https://www.basf.com/global/en/who-we-are/sustainability.html,,CAS No.: 88-12-0,
https://products.basf.com/global/en.html,,Packaging,
https://www.basf.com/global/en/products.html,,Packaging,
https://www.basf.com/global/en/who-we-are/innovation.html,,"0,5KG Fibreboard boxes",
https://www.basf.com/global/en/media/multimedia.html,,"30KG, 200KG Steel drums",
https://www.basf.com/global/en/legal/e-business.html,,1000KG Composite IBC,
https://www.basf.com/global/en/media/publications.html,,Bulk,
https://products.basf.com/global/en/general_conditions_of_sales.html,,Lactones and Lactams,
https://www.basf.com/global/en/media/news-releases.html,,Lactones and Lactams,
https://www.basf.com/global/en/who-we-are/organization/management/code-of-conduct.html,,further information,
https://www.basf.com/global/en/legal/data-protection-at-basf.html,,Further Information,
https://www.basf.com/en/tools/legal/disclaimer.html,,"Brochures, Flyer and Onepager",
https://www.basf.com/en/tools/legal/credits.html,,1,
https://products.basf.com/global/en/legal/data-protection.html,,show more ....,
https://www.basf.com/en/tools/legal/responsible-disclosure-statement.html,,TOP,
https://www.basf.com/en/tools/legal/suppliers-partners.html,,Follow us,
https://www.basf.com/en/tools/legal/contact.html,,Company,
,,Career,
,,Media,
,,Sustainability,
,,Products,
,,Product Finder,
,,Industries,
,,Innovation,
,,Service,
,,Multimedia,
,,eBusiness,
,,Publications,
,,General Conditions of Sales,
,,Customer Service,
,,Latest News,
,,Compliance Hotline,
,,Data protection @BASF,
,,Copyright © BASF SE 2024,
,,Disclaimer,
,,Cookie Preference Center,
,,Credits,
,,Privacy policy,
,,Responsible Disclosure Statement,
,,Suppliers & Partners,
,,Contact,
